Name,Market Cap (GBP$ Billion)
JPMorgan Chase,32.365
Industrial and Commercial Bank of China,28.58
Bank of America,26.935
Wells Fargo,25.5
China Construction Bank,21.31
HSBC Holdings PLC,18.154
Agricultural Bank of China,16.827
Citigroup Inc.,16.82
Bank of China,15.024
China Merchants Bank,10.151
Royal Bank of Canada,10.147
Banco Santander,9.578
Commonwealth Bank,9.291
Mitsubishi UFJ Financial Group,9.244
Toronto-Dominion Bank,8.978
BNP Paribas,8.549
Goldman Sachs,8.338
Sberbank of Russia,8.266
Morgan Stanley,8.25
U.S. Bancorp,7.829
HDFC Bank,7.322
Itaú Unibanco,7.137
Westpac,7.001
Scotiabank,6.536
ING Group,6.534
UBS,6.249
Charles Schwab,6.148
PNC Financial Services,5.981
Lloyds Banking Group,5.899
Sumitomo Mitsui Financial Group,5.574
Bank of Communications,5.553
Australia and New Zealand Banking Group,5.501
Banco Bradesco,5.366
National Australia Bank,5.281
Intesa Sanpaolo,5.136
Banco Bilbao Vizcaya Argentaria,5.024
Japan Post Bank,5.011
The Bank of New York Mellon,4.952
Shanghai Pudong Development Bank,4.868
Industrial Bank (China),4.751
Bank of China (Hong Kong),4.591
Bank of Montreal,4.403
Crédit Agricole,4.317
DBS Bank,4.262
Nordea,4.238
Capital One,4.231
NatWest Group,4.181
Mizuho Financial Group,4.141
Credit Suisse,4.012
Postal Savings Bank of China,3.97
China Minsheng Bank,3.967
UniCredit,3.956
China CITIC Bank,3.928
Hang Seng Bank,3.822
Société Générale,3.813
Barclays,3.796
Canadian Imperial Bank of Commerce,3.605
Bank Central Asia,3.589
Truist Financial,3.471
Oversea-Chinese Banking Corp,3.425
State Bank of India,3.359
State Street,3.292
Deutsche Bank,3.2
KBC Bank,3.179
Danske Bank,3.164
Ping An Bank,3.146
Standard Chartered,3.09
United Overseas Bank,2.908
QNB Group,2.779
Bank Rakyat,2.739
